,date,teams,home_team,away_team,opposition,result,score,home_goals,away_goals,aggregrate_score,peanalties,competition,season,year,month,day,swansea_goal,opposition_goals
2966,25 Mar 2005,Swansea City v Macclesfield Town,Swansea City,Macclesfield Town,Macclesfield Town,W,2-0,2,0,-,-,League Two,2004,2005,3,25,2,0
2967,28 Mar 2005,Cheltenham Town v Swansea City,Cheltenham Town,Swansea City,Cheltenham Town,W,1-2,1,2,-,-,League Two,2004,2005,3,28,2,1
2968,02 Apr 2005,Swansea City v Cambridge United,Swansea City,Cambridge United,Cambridge United,W,3-0,3,0,-,-,League Two,2004,2005,4,2,3,0
2969,09 Apr 2005,Lincoln City v Swansea City,Lincoln City,Swansea City,Lincoln City,L,1-0,1,0,-,-,League Two,2004,2005,4,9,0,1
2970,15 Apr 2005,Swansea City v Oxford United,Swansea City,Oxford United,Oxford United,W,1-0,1,0,-,-,League Two,2004,2005,4,15,1,0
2971,23 Apr 2005,Bristol Rovers v Swansea City,Bristol Rovers,Swansea City,Bristol Rovers,L,2-0,2,0,-,-,League Two,2004,2005,4,23,0,2
2972,30 Apr 2005,Swansea City v Shrewsbury Town,Swansea City,Shrewsbury Town,Shrewsbury Town,W,1-0,1,0,-,-,League Two,2004,2005,4,30,1,0
2973,07 May 2005,Bury v Swansea City,Bury,Swansea City,Bury,W,0-1,0,1,-,-,League Two,2004,2005,5,7,1,0
2974,06 Aug 2005,Swansea City v Tranmere Rovers,Swansea City,Tranmere Rovers,Tranmere Rovers,W,1-0,1,0,-,-,League One,2005,2005,8,6,1,0
2975,09 Aug 2005,Colchester United v Swansea City,Colchester United,Swansea City,Colchester United,W,1-2,1,2,-,-,League One,2005,2005,8,9,2,1
2976,13 Aug 2005,Huddersfield Town v Swansea City,Huddersfield Town,Swansea City,Huddersfield Town,L,3-1,3,1,-,-,League One,2005,2005,8,13,1,3
2977,20 Aug 2005,Swansea City v Doncaster Rovers,Swansea City,Doncaster Rovers,Doncaster Rovers,L,1-2,1,2,-,-,League One,2005,2005,8,20,1,2
2978,23 Aug 2005,Reading v Swansea City,Reading,Swansea City,Reading,L,3-1,3,1,-,-,League Cup,2005,2005,8,23,1,3
2979,27 Aug 2005,Walsall v Swansea City,Walsall,Swansea City,Walsall,W,2-5,2,5,-,-,League One,2005,2005,8,27,5,2
2980,29 Aug 2005,Swansea City v Barnsley,Swansea City,Barnsley,Barnsley,W,3-1,3,1,-,-,League One,2005,2005,8,29,3,1
2981,10 Sep 2005,Swansea City v Bristol City,Swansea City,Bristol City,Bristol City,W,7-1,7,1,-,-,League One,2005,2005,9,10,7,1
2982,13 Sep 2005,Milton Keynes Dons v Swansea City,Milton Keynes Dons,Swansea City,Milton Keynes Dons,W,1-3,1,3,-,-,League One,2005,2005,9,13,3,1
2983,17 Sep 2005,Hartlepool United v Swansea City,Hartlepool United,Swansea City,Hartlepool United,D,2-2,2,2,-,-,League One,2005,2005,9,17,2,2
2984,24 Sep 2005,Swansea City v Nottingham Forest,Swansea City,Nottingham Forest,Nottingham Forest,D,1-1,1,1,-,-,League One,2005,2005,9,24,1,1
2985,27 Sep 2005,AFC Bournemouth v Swansea City,AFC Bournemouth,Swansea City,AFC Bournemouth,W,0-1,0,1,-,-,League One,2005,2005,9,27,1,0
2986,01 Oct 2005,Swansea City v Blackpool,Swansea City,Blackpool,Blackpool,W,3-2,3,2,-,-,League One,2005,2005,10,1,3,2
2987,08 Oct 2005,Yeovil Town v Swansea City,Yeovil Town,Swansea City,Yeovil Town,L,1-0,1,0,-,-,League One,2005,2005,10,8,0,1
2988,15 Oct 2005,Swansea City v Oldham Athletic,Swansea City,Oldham Athletic,Oldham Athletic,D,0-0,0,0,-,-,League One,2005,2005,10,15,0,0
2989,18 Oct 2005,Torquay United v Swansea City,Torquay United,Swansea City,Torquay United,W,1-3,1,3,-,-,LDV Vans Trophy,2005,2005,10,18,3,1
2990,22 Oct 2005,Rotherham United v Swansea City,Rotherham United,Swansea City,Rotherham United,D,2-2,2,2,-,-,League One,2005,2005,10,22,2,2
2991,29 Oct 2005,Swansea City v Chesterfield,Swansea City,Chesterfield,Chesterfield,W,5-1,5,1,-,-,League One,2005,2005,10,29,5,1
2992,05 Nov 2005,Stockport County v Swansea City,Stockport County,Swansea City,Stockport County,L,2-0,2,0,-,-,FA Cup,2005,2005,11,5,0,2
2993,12 Nov 2005,Southend United v Swansea City,Southend United,Swansea City,Southend United,W,1-2,1,2,-,-,League One,2005,2005,11,12,2,1
2994,18 Nov 2005,Swansea City v Yeovil Town,Swansea City,Yeovil Town,Yeovil Town,W,2-0,2,0,-,-,League One,2005,2005,11,18,2,0
2995,22 Nov 2005,Swansea City v Rushden and Diamonds,Swansea City,Rushden and Diamonds,Rushden and Diamonds,W,4-0,4,0,-,-,LDV Vans Trophy,2005,2005,11,22,4,0
2996,26 Nov 2005,Tranmere Rovers v Swansea City,Tranmere Rovers,Swansea City,Tranmere Rovers,D,2-2,2,2,-,-,League One,2005,2005,11,26,2,2
2997,06 Dec 2005,Swansea City v Scunthorpe United,Swansea City,Scunthorpe United,Scunthorpe United,W,2-0,2,0,-,-,League One,2005,2005,12,6,2,0
2998,10 Dec 2005,Swansea City v Colchester United,Swansea City,Colchester United,Colchester United,D,1-1,1,1,-,-,League One,2005,2005,12,10,1,1
2999,13 Dec 2005,Swansea City v Peterborough United,Swansea City,Peterborough United,Peterborough United,W,3-1,3,1,-,-,LDV Vans Trophy,2005,2005,12,13,3,1
3000,17 Dec 2005,Doncaster Rovers v Swansea City,Doncaster Rovers,Swansea City,Doncaster Rovers,L,2-1,2,1,-,-,League One,2005,2005,12,17,1,2
3001,26 Dec 2005,Brentford v Swansea City,Brentford,Swansea City,Brentford,L,2-1,2,1,-,-,League One,2005,2005,12,26,1,2
3002,31 Dec 2005,Swindon Town v Swansea City,Swindon Town,Swansea City,Swindon Town,D,0-0,0,0,-,-,League One,2005,2005,12,31,0,0
3003,02 Jan 2006,Swansea City v Port Vale,Swansea City,Port Vale,Port Vale,D,0-0,0,0,-,-,League One,2005,2006,1,2,0,0
3004,10 Jan 2006,Swansea City v Milton Keynes Dons,Swansea City,Milton Keynes Dons,Milton Keynes Dons,W,3-1,3,1,-,-,League One,2005,2006,1,10,3,1
3005,14 Jan 2006,Bradford City v Swansea City,Bradford City,Swansea City,Bradford City,D,1-1,1,1,-,-,League One,2005,2006,1,14,1,1
3006,21 Jan 2006,Swansea City v Hartlepool United,Swansea City,Hartlepool United,Hartlepool United,D,1-1,1,1,-,-,League One,2005,2006,1,21,1,1
3007,24 Jan 2006,Swansea City v Walsall,Swansea City,Walsall,Walsall,D,2-2,2,2,-,-,LDV Vans Trophy,2005,2006,1,24,2,2
3008,28 Jan 2006,Bristol City v Swansea City,Bristol City,Swansea City,Bristol City,L,1-0,1,0,-,-,League One,2005,2006,1,28,0,1
3009,31 Jan 2006,Swansea City v Gillingham,Swansea City,Gillingham,Gillingham,L,1-2,1,2,-,-,League One,2005,2006,1,31,1,2
3010,03 Feb 2006,Swansea City v AFC Bournemouth,Swansea City,AFC Bournemouth,AFC Bournemouth,W,1-0,1,0,-,-,League One,2005,2006,2,3,1,0
3011,11 Feb 2006,Nottingham Forest v Swansea City,Nottingham Forest,Swansea City,Nottingham Forest,W,1-2,1,2,-,-,League One,2005,2006,2,11,2,1
3012,14 Feb 2006,Swansea City v Bradford City,Swansea City,Bradford City,Bradford City,D,1-1,1,1,-,-,League One,2005,2006,2,14,1,1
3013,18 Feb 2006,Scunthorpe United v Swansea City,Scunthorpe United,Swansea City,Scunthorpe United,D,2-2,2,2,-,-,League One,2005,2006,2,18,2,2
3014,24 Feb 2006,Swansea City v Huddersfield Town,Swansea City,Huddersfield Town,Huddersfield Town,D,2-2,2,2,-,-,League One,2005,2006,2,24,2,2
3015,04 Mar 2006,Barnsley v Swansea City,Barnsley,Swansea City,Barnsley,D,2-2,2,2,-,-,League One,2005,2006,3,4,2,2
3016,07 Mar 2006,Swansea City v Colchester United,Swansea City,Colchester United,Colchester United,W,1-0,1,0,-,-,LDV Vans Trophy,2005,2006,3,7,1,0
3017,12 Mar 2006,Swansea City v Walsall,Swansea City,Walsall,Walsall,D,1-1,1,1,-,-,League One,2005,2006,3,12,1,1
3018,14 Mar 2006,Colchester United v Swansea City,Colchester United,Swansea City,Colchester United,W,1-2,1,2,-,-,LDV Vans Trophy,2005,2006,3,14,2,1
3019,17 Mar 2006,Swansea City v Brentford,Swansea City,Brentford,Brentford,W,2-1,2,1,-,-,League One,2005,2006,3,17,2,1
3020,25 Mar 2006,Gillingham v Swansea City,Gillingham,Swansea City,Gillingham,L,1-0,1,0,-,-,League One,2005,2006,3,25,0,1
3021,02 Apr 2006,Carlisle United v Swansea City,Carlisle United,Swansea City,Carlisle United,W,1-2,1,2,-,-,LDV Vans Trophy,2005,2006,4,2,2,1
3022,08 Apr 2006,Port Vale v Swansea City,Port Vale,Swansea City,Port Vale,L,3-2,3,2,-,-,League One,2005,2006,4,8,2,3
3023,11 Apr 2006,Swansea City v Swindon Town,Swansea City,Swindon Town,Swindon Town,W,2-1,2,1,-,-,League One,2005,2006,4,11,2,1
3024,15 Apr 2006,Blackpool v Swansea City,Blackpool,Swansea City,Blackpool,L,1-0,1,0,-,-,League One,2005,2006,4,15,0,1
3025,17 Apr 2006,Swansea City v Rotherham United,Swansea City,Rotherham United,Rotherham United,L,0-2,0,2,-,-,League One,2005,2006,4,17,0,2
3026,22 Apr 2006,Oldham Athletic v Swansea City,Oldham Athletic,Swansea City,Oldham Athletic,D,1-1,1,1,-,-,League One,2005,2006,4,22,1,1
3027,29 Apr 2006,Swansea City v Southend United,Swansea City,Southend United,Southend United,D,2-2,2,2,-,-,League One,2005,2006,4,29,2,2
3028,06 May 2006,Chesterfield v Swansea City,Chesterfield,Swansea City,Chesterfield,W,0-4,0,4,-,-,League One,2005,2006,5,6,4,0
3029,11 May 2006,Swansea City v Brentford,Swansea City,Brentford,Brentford,D,1-1,1,1,-,-,League One Play-Offs,2005,2006,5,11,1,1
3030,14 May 2006,Brentford v Swansea City,Brentford,Swansea City,Brentford,W,0-2,0,2, 1-3,-,League One Play-Offs,2005,2006,5,14,2,0
3031,27 May 2006,Barnsley v Swansea City,Barnsley,Swansea City,Barnsley,L,2-2 ,2,2,-,2-2 ,League One Play-Offs,2005,2006,5,27,2,2
3032,05 Aug 2006,Swansea City v Cheltenham Town,Swansea City,Cheltenham Town,Cheltenham Town,L,1-2,1,2,-,-,League One,2006,2006,8,5,1,2
3033,08 Aug 2006,Scunthorpe United v Swansea City,Scunthorpe United,Swansea City,Scunthorpe United,D,2-2,2,2,-,-,League One,2006,2006,8,8,2,2
3034,12 Aug 2006,Oldham Athletic v Swansea City,Oldham Athletic,Swansea City,Oldham Athletic,L,1-0,1,0,-,-,League One,2006,2006,8,12,0,1
3035,19 Aug 2006,Swansea City v Doncaster Rovers,Swansea City,Doncaster Rovers,Doncaster Rovers,W,2-0,2,0,-,-,League One,2006,2006,8,19,2,0
3036,22 Aug 2006,Swansea City v Wycombe Wanderers,Swansea City,Wycombe Wanderers,Wycombe Wanderers,L,2-3,2,3,-,-,League Cup,2006,2006,8,22,2,3
3037,26 Aug 2006,Leyton Orient v Swansea City,Leyton Orient,Swansea City,Leyton Orient,W,0-1,0,1,-,-,League One,2006,2006,8,26,1,0
3038,01 Sep 2006,Swansea City v Yeovil Town,Swansea City,Yeovil Town,Yeovil Town,D,1-1,1,1,-,-,League One,2006,2006,9,1,1,1
3039,09 Sep 2006,Swansea City v Bradford City,Swansea City,Bradford City,Bradford City,W,1-0,1,0,-,-,League One,2006,2006,9,9,1,0
3040,12 Sep 2006,Brentford v Swansea City,Brentford,Swansea City,Brentford,W,0-2,0,2,-,-,League One,2006,2006,9,12,2,0
3041,16 Sep 2006,Gillingham v Swansea City,Gillingham,Swansea City,Gillingham,L,3-1,3,1,-,-,League One,2006,2006,9,16,1,3
3042,23 Sep 2006,Swansea City v Huddersfield Town,Swansea City,Huddersfield Town,Huddersfield Town,L,1-2,1,2,-,-,League One,2006,2006,9,23,1,2
3043,26 Sep 2006,Swansea City v Crewe Alexandra,Swansea City,Crewe Alexandra,Crewe Alexandra,W,2-1,2,1,-,-,League One,2006,2006,9,26,2,1
3044,30 Sep 2006,Nottingham Forest v Swansea City,Nottingham Forest,Swansea City,Nottingham Forest,L,3-1,3,1,-,-,League One,2006,2006,9,30,1,3
3045,06 Oct 2006,Swansea City v Tranmere Rovers,Swansea City,Tranmere Rovers,Tranmere Rovers,D,0-0,0,0,-,-,League One,2006,2006,10,6,0,0
3046,14 Oct 2006,Chesterfield v Swansea City,Chesterfield,Swansea City,Chesterfield,W,2-3,2,3,-,-,League One,2006,2006,10,14,3,2
3047,17 Oct 2006,Walsall v Swansea City,Walsall,Swansea City,Walsall,W,1-1 ,1,1,-,1-1 ,Johnstones Paint Trophy,2006,2006,10,17,1,1
3048,22 Oct 2006,Swansea City v Millwall,Swansea City,Millwall,Millwall,W,2-0,2,0,-,-,League One,2006,2006,10,22,2,0
3049,28 Oct 2006,Northampton Town v Swansea City,Northampton Town,Swansea City,Northampton Town,L,1-0,1,0,-,-,League One,2006,2006,10,28,0,1
3050,31 Oct 2006,Peterborough United v Swansea City,Peterborough United,Swansea City,Peterborough United,L,1-0,1,0,-,-,Johnstones Paint Trophy,2006,2006,10,31,0,1
3051,03 Nov 2006,Swansea City v AFC Bournemouth,Swansea City,AFC Bournemouth,AFC Bournemouth,W,4-2,4,2,-,-,League One,2006,2006,11,3,4,2
3052,11 Nov 2006,Newport County v Swansea City,Newport County,Swansea City,Newport County,W,1-3,1,3,-,-,FA Cup,2006,2006,11,11,3,1
3053,18 Nov 2006,Port Vale v Swansea City,Port Vale,Swansea City,Port Vale,W,0-2,0,2,-,-,League One,2006,2006,11,18,2,0
3054,26 Nov 2006,Swansea City v Bristol City,Swansea City,Bristol City,Bristol City,D,0-0,0,0,-,-,League One,2006,2006,11,26,0,0
3055,02 Dec 2006,Darlington v Swansea City,Darlington,Swansea City,Darlington,W,1-3,1,3,-,-,FA Cup,2006,2006,12,2,3,1
3056,05 Dec 2006,Brighton and Hove Albion v Swansea City,Brighton and Hove Albion,Swansea City,Brighton and Hove Albion,L,3-2,3,2,-,-,League One,2006,2006,12,5,2,3
3057,09 Dec 2006,Blackpool v Swansea City,Blackpool,Swansea City,Blackpool,D,1-1,1,1,-,-,League One,2006,2006,12,9,1,1
3058,16 Dec 2006,Swansea City v Carlisle United,Swansea City,Carlisle United,Carlisle United,W,5-0,5,0,-,-,League One,2006,2006,12,16,5,0
3059,23 Dec 2006,Swansea City v Rotherham United,Swansea City,Rotherham United,Rotherham United,D,1-1,1,1,-,-,League One,2006,2006,12,23,1,1
3060,26 Dec 2006,Crewe Alexandra v Swansea City,Crewe Alexandra,Swansea City,Crewe Alexandra,W,1-3,1,3,-,-,League One,2006,2006,12,26,3,1
3061,30 Dec 2006,Huddersfield Town v Swansea City,Huddersfield Town,Swansea City,Huddersfield Town,L,3-2,3,2,-,-,League One,2006,2006,12,30,2,3
3062,01 Jan 2007,Swansea City v Brentford,Swansea City,Brentford,Brentford,W,2-0,2,0,-,-,League One,2006,2007,1,1,2,0
3063,06 Jan 2007,Sheffield United v Swansea City,Sheffield United,Swansea City,Sheffield United,W,0-3,0,3,-,-,FA Cup,2006,2007,1,6,3,0
3064,13 Jan 2007,Bradford City v Swansea City,Bradford City,Swansea City,Bradford City,D,2-2,2,2,-,-,League One,2006,2007,1,13,2,2
3065,20 Jan 2007,Swansea City v Nottingham Forest,Swansea City,Nottingham Forest,Nottingham Forest,D,0-0,0,0,-,-,League One,2006,2007,1,20,0,0
3066,23 Jan 2007,Swansea City v Gillingham,Swansea City,Gillingham,Gillingham,W,2-0,2,0,-,-,League One,2006,2007,1,23,2,0
3067,27 Jan 2007,Ipswich Town v Swansea City,Ipswich Town,Swansea City,Ipswich Town,L,1-0,1,0,-,-,FA Cup,2006,2007,1,27,0,1
3068,03 Feb 2007,Cheltenham Town v Swansea City,Cheltenham Town,Swansea City,Cheltenham Town,L,2-1,2,1,-,-,League One,2006,2007,2,3,1,2
3069,10 Feb 2007,Swansea City v Oldham Athletic,Swansea City,Oldham Athletic,Oldham Athletic,L,0-1,0,1,-,-,League One,2006,2007,2,10,0,1
3070,17 Feb 2007,Doncaster Rovers v Swansea City,Doncaster Rovers,Swansea City,Doncaster Rovers,D,2-2,2,2,-,-,League One,2006,2007,2,17,2,2
3071,20 Feb 2007,Swansea City v Scunthorpe United,Swansea City,Scunthorpe United,Scunthorpe United,L,0-2,0,2,-,-,League One,2006,2007,2,20,0,2
3072,24 Feb 2007,Yeovil Town v Swansea City,Yeovil Town,Swansea City,Yeovil Town,L,1-0,1,0,-,-,League One,2006,2007,2,24,0,1
3073,27 Feb 2007,Rotherham United v Swansea City,Rotherham United,Swansea City,Rotherham United,W,1-2,1,2,-,-,League One,2006,2007,2,27,2,1
3074,03 Mar 2007,Swansea City v Leyton Orient,Swansea City,Leyton Orient,Leyton Orient,D,0-0,0,0,-,-,League One,2006,2007,3,3,0,0
3075,10 Mar 2007,Tranmere Rovers v Swansea City,Tranmere Rovers,Swansea City,Tranmere Rovers,W,0-2,0,2,-,-,League One,2006,2007,3,10,2,0
3076,16 Mar 2007,Swansea City v Chesterfield,Swansea City,Chesterfield,Chesterfield,W,2-0,2,0,-,-,League One,2006,2007,3,16,2,0
3077,24 Mar 2007,Swansea City v Northampton Town,Swansea City,Northampton Town,Northampton Town,W,2-1,2,1,-,-,League One,2006,2007,3,24,2,1
3078,31 Mar 2007,Millwall v Swansea City,Millwall,Swansea City,Millwall,L,2-0,2,0,-,-,League One,2006,2007,3,31,0,2
3079,07 Apr 2007,Bristol City v Swansea City,Bristol City,Swansea City,Bristol City,D,0-0,0,0,-,-,League One,2006,2007,4,7,0,0
3080,09 Apr 2007,Swansea City v Port Vale,Swansea City,Port Vale,Port Vale,W,3-0,3,0,-,-,League One,2006,2007,4,9,3,0
3081,14 Apr 2007,AFC Bournemouth v Swansea City,AFC Bournemouth,Swansea City,AFC Bournemouth,D,2-2,2,2,-,-,League One,2006,2007,4,14,2,2
3082,21 Apr 2007,Swansea City v Brighton and Hove Albion,Swansea City,Brighton and Hove Albion,Brighton and Hove Albion,W,2-1,2,1,-,-,League One,2006,2007,4,21,2,1
3083,28 Apr 2007,Carlisle United v Swansea City,Carlisle United,Swansea City,Carlisle United,W,1-2,1,2,-,-,League One,2006,2007,4,28,2,1
3084,05 May 2007,Swansea City v Blackpool,Swansea City,Blackpool,Blackpool,L,3-6,3,6,-,-,League One,2006,2007,5,5,3,6
3085,11 Aug 2007,Oldham Athletic v Swansea City,Oldham Athletic,Swansea City,Oldham Athletic,L,2-1,2,1,-,-,League One,2007,2007,8,11,1,2
3086,14 Aug 2007,Swansea City v Walsall,Swansea City,Walsall,Walsall,W,2-0,2,0,-,-,League Cup,2007,2007,8,14,2,0
3087,18 Aug 2007,Swansea City v Nottingham Forest,Swansea City,Nottingham Forest,Nottingham Forest,D,0-0,0,0,-,-,League One,2007,2007,8,18,0,0
3088,25 Aug 2007,Walsall v Swansea City,Walsall,Swansea City,Walsall,W,1-3,1,3,-,-,League One,2007,2007,8,25,3,1
3089,28 Aug 2007,Swansea City v Reading,Swansea City,Reading,Reading,L,0-1,0,1,-,-,League Cup,2007,2007,8,28,0,1
3090,01 Sep 2007,Swansea City v Doncaster Rovers,Swansea City,Doncaster Rovers,Doncaster Rovers,L,1-2,1,2,-,-,League One,2007,2007,9,1,1,2
3091,04 Sep 2007,Swansea City v Millwall,Swansea City,Millwall,Millwall,W,3-2,3,2,-,-,Johnstones Paint Trophy,2007,2007,9,4,3,2
3092,14 Sep 2007,Swansea City v Carlisle United,Swansea City,Carlisle United,Carlisle United,W,2-1,2,1,-,-,League One,2007,2007,9,14,2,1
3093,18 Sep 2007,Cheltenham Town v Swansea City,Cheltenham Town,Swansea City,Cheltenham Town,W,1-2,1,2,-,-,League One,2007,2007,9,18,2,1
3094,22 Sep 2007,Leeds United v Swansea City,Leeds United,Swansea City,Leeds United,L,2-0,2,0,-,-,League One,2007,2007,9,22,0,2
3095,29 Sep 2007,Swansea City v Brighton and Hove Albion,Swansea City,Brighton and Hove Albion,Brighton and Hove Albion,D,0-0,0,0,-,-,League One,2007,2007,9,29,0,0
3096,02 Oct 2007,Swansea City v Swindon Town,Swansea City,Swindon Town,Swindon Town,W,2-1,2,1,-,-,League One,2007,2007,10,2,2,1
3097,06 Oct 2007,Leyton Orient v Swansea City,Leyton Orient,Swansea City,Leyton Orient,W,0-5,0,5,-,-,League One,2007,2007,10,6,5,0
3098,09 Oct 2007,Swansea City v Wycombe Wanderers,Swansea City,Wycombe Wanderers,Wycombe Wanderers,W,2-0,2,0,-,-,Johnstones Paint Trophy,2007,2007,10,9,2,0
3099,14 Oct 2007,AFC Bournemouth v Swansea City,AFC Bournemouth,Swansea City,AFC Bournemouth,W,1-4,1,4,-,-,League One,2007,2007,10,14,4,1
3100,27 Oct 2007,Yeovil Town v Swansea City,Yeovil Town,Swansea City,Yeovil Town,W,1-2,1,2,-,-,League One,2007,2007,10,27,2,1
3101,02 Nov 2007,Swansea City v Gillingham,Swansea City,Gillingham,Gillingham,D,1-1,1,1,-,-,League One,2007,2007,11,2,1,1
3102,06 Nov 2007,Millwall v Swansea City,Millwall,Swansea City,Millwall,D,2-2,2,2,-,-,League One,2007,2007,11,6,2,2
3103,10 Nov 2007,Billericay Town v Swansea City,Billericay Town,Swansea City,Billericay Town,W,1-2,1,2,-,-,FA Cup,2007,2007,11,10,2,1
3104,13 Nov 2007,Swansea City v Yeovil Town,Swansea City,Yeovil Town,Yeovil Town,W,1-0,1,0,-,-,Johnstones Paint Trophy,2007,2007,11,13,1,0
3105,16 Nov 2007,Swansea City v Huddersfield Town,Swansea City,Huddersfield Town,Huddersfield Town,L,0-1,0,1,-,-,League One,2007,2007,11,16,0,1
3106,24 Nov 2007,Tranmere Rovers v Swansea City,Tranmere Rovers,Swansea City,Tranmere Rovers,W,0-1,0,1,-,-,League One,2007,2007,11,24,1,0
3107,27 Nov 2007,Swansea City v Hartlepool United,Swansea City,Hartlepool United,Hartlepool United,W,1-0,1,0,-,-,League One,2007,2007,11,27,1,0
3108,30 Nov 2007,Horsham v Swansea City,Horsham,Swansea City,Horsham,D,1-1,1,1,-,-,FA Cup,2007,2007,11,30,1,1
3109,04 Dec 2007,Swansea City v Northampton Town,Swansea City,Northampton Town,Northampton Town,W,3-0,3,0,-,-,League One,2007,2007,12,4,3,0
3110,10 Dec 2007,Swansea City v Horsham,Swansea City,Horsham,Horsham,W,6-2,6,2,-,-,FA Cup,2007,2007,12,10,6,2
3111,15 Dec 2007,Swansea City v Southend United,Swansea City,Southend United,Southend United,W,3-0,3,0,-,-,League One,2007,2007,12,15,3,0
3112,26 Dec 2007,Swansea City v Cheltenham Town,Swansea City,Cheltenham Town,Cheltenham Town,W,4-1,4,1,-,-,League One,2007,2007,12,26,4,1
3113,29 Dec 2007,Swansea City v Leeds United,Swansea City,Leeds United,Leeds United,W,3-2,3,2,-,-,League One,2007,2007,12,29,3,2
3114,01 Jan 2008,Swindon Town v Swansea City,Swindon Town,Swansea City,Swindon Town,D,1-1,1,1,-,-,League One,2007,2008,1,1,1,1
3115,05 Jan 2008,Swansea City v Havant and Waterlooville,Swansea City,Havant and Waterlooville,Havant and Waterlooville,D,1-1,1,1,-,-,FA Cup,2007,2008,1,5,1,1
3116,08 Jan 2008,Swansea City v Brighton and Hove Albion,Swansea City,Brighton and Hove Albion,Brighton and Hove Albion,W,1-0,1,0,-,-,Johnstones Paint Trophy,2007,2008,1,8,1,0
3117,12 Jan 2008,Luton Town v Swansea City,Luton Town,Swansea City,Luton Town,W,1-3,1,3,-,-,League One,2007,2008,1,12,3,1
3118,16 Jan 2008,Havant and Waterlooville v Swansea City,Havant and Waterlooville,Swansea City,Havant and Waterlooville,L,4-2,4,2,-,-,FA Cup,2007,2008,1,16,2,4
3119,19 Jan 2008,Swansea City v Port Vale,Swansea City,Port Vale,Port Vale,W,2-0,2,0,-,-,League One,2007,2008,1,19,2,0
3120,22 Jan 2008,Swansea City v Crewe Alexandra,Swansea City,Crewe Alexandra,Crewe Alexandra,W,2-1,2,1,-,-,League One,2007,2008,1,22,2,1
3121,25 Jan 2008,Doncaster Rovers v Swansea City,Doncaster Rovers,Swansea City,Doncaster Rovers,W,0-4,0,4,-,-,League One,2007,2008,1,25,4,0
3122,29 Jan 2008,Nottingham Forest v Swansea City,Nottingham Forest,Swansea City,Nottingham Forest,D,0-0,0,0,-,-,League One,2007,2008,1,29,0,0
3123,02 Feb 2008,Swansea City v Oldham Athletic,Swansea City,Oldham Athletic,Oldham Athletic,W,2-1,2,1,-,-,League One,2007,2008,2,2,2,1
3124,09 Feb 2008,Crewe Alexandra v Swansea City,Crewe Alexandra,Swansea City,Crewe Alexandra,D,2-2,2,2,-,-,League One,2007,2008,2,9,2,2
3125,12 Feb 2008,Swansea City v Walsall,Swansea City,Walsall,Walsall,W,1-0,1,0,-,-,League One,2007,2008,2,12,1,0
3126,16 Feb 2008,Port Vale v Swansea City,Port Vale,Swansea City,Port Vale,W,0-2,0,2,-,-,League One,2007,2008,2,16,2,0
3127,19 Feb 2008,Swansea City v Milton Keynes Dons,Swansea City,Milton Keynes Dons,Milton Keynes Dons,L,0-1,0,1,-,-,Johnstones Paint Trophy,2007,2008,2,19,0,1
3128,22 Feb 2008,Swansea City v Luton Town,Swansea City,Luton Town,Luton Town,W,1-0,1,0,-,-,League One,2007,2008,2,22,1,0
3129,25 Feb 2008,Milton Keynes Dons v Swansea City,Milton Keynes Dons,Swansea City,Milton Keynes Dons,D,0-1 ,0,1,-,0-1 ,Johnstones Paint Trophy,2007,2008,2,25,1,0
3130,01 Mar 2008,Huddersfield Town v Swansea City,Huddersfield Town,Swansea City,Huddersfield Town,W,0-1,0,1,-,-,League One,2007,2008,3,1,1,0
3131,07 Mar 2008,Swansea City v Millwall,Swansea City,Millwall,Millwall,L,1-2,1,2,-,-,League One,2007,2008,3,7,1,2
3132,11 Mar 2008,Swansea City v Tranmere Rovers,Swansea City,Tranmere Rovers,Tranmere Rovers,D,1-1,1,1,-,-,League One,2007,2008,3,11,1,1
3133,15 Mar 2008,Northampton Town v Swansea City,Northampton Town,Swansea City,Northampton Town,L,4-2,4,2,-,-,League One,2007,2008,3,15,2,4
3134,18 Mar 2008,Bristol Rovers v Swansea City,Bristol Rovers,Swansea City,Bristol Rovers,W,0-2,0,2,-,-,League One,2007,2008,3,18,2,0
3135,21 Mar 2008,Southend United v Swansea City,Southend United,Swansea City,Southend United,D,1-1,1,1,-,-,League One,2007,2008,3,21,1,1
3136,24 Mar 2008,Swansea City v Bristol Rovers,Swansea City,Bristol Rovers,Bristol Rovers,D,2-2,2,2,-,-,League One,2007,2008,3,24,2,2
3137,29 Mar 2008,Hartlepool United v Swansea City,Hartlepool United,Swansea City,Hartlepool United,W,1-3,1,3,-,-,League One,2007,2008,3,29,3,1
3138,05 Apr 2008,Swansea City v AFC Bournemouth,Swansea City,AFC Bournemouth,AFC Bournemouth,L,1-2,1,2,-,-,League One,2007,2008,4,5,1,2
3139,08 Apr 2008,Carlisle United v Swansea City,Carlisle United,Swansea City,Carlisle United,D,0-0,0,0,-,-,League One,2007,2008,4,8,0,0
3140,12 Apr 2008,Gillingham v Swansea City,Gillingham,Swansea City,Gillingham,W,1-2,1,2,-,-,League One,2007,2008,4,12,2,1
3141,19 Apr 2008,Swansea City v Yeovil Town,Swansea City,Yeovil Town,Yeovil Town,L,1-2,1,2,-,-,League One,2007,2008,4,19,1,2
