,date,teams,home_team,away_team,opposition,result,score,home_goals,away_goals,aggregrate_score,peanalties,competition,season,year,month,day,swansea_goal,opposition_goals
705,23 Apr 1962,Plymouth Argyle v Swansea City,Plymouth Argyle,Swansea City,Plymouth Argyle,D,0-0,0,0,-,-,League Division Two,1961,1962,4,23,0,0
706,24 Apr 1962,Swansea City v Plymouth Argyle,Swansea City,Plymouth Argyle,Plymouth Argyle,W,5-0,5,0,-,-,League Division Two,1961,1962,4,24,5,0
707,28 Apr 1962,Swansea City v Sunderland,Swansea City,Sunderland,Sunderland,D,1-1,1,1,-,-,League Division Two,1961,1962,4,28,1,1
708,04 May 1962,Swansea City v Liverpool,Swansea City,Liverpool,Liverpool,W,4-2,4,2,-,-,League Division Two,1961,1962,5,4,4,2
709,18 Aug 1962,Charlton Athletic v Swansea City,Charlton Athletic,Swansea City,Charlton Athletic,D,2-2,2,2,-,-,League Division Two,1962,1962,8,18,2,2
710,23 Aug 1962,Swansea City v Bury,Swansea City,Bury,Bury,W,3-0,3,0,-,-,League Division Two,1962,1962,8,23,3,0
711,25 Aug 1962,Swansea City v Stoke City,Swansea City,Stoke City,Stoke City,W,2-1,2,1,-,-,League Division Two,1962,1962,8,25,2,1
712,30 Aug 1962,Bury v Swansea City,Bury,Swansea City,Bury,L,2-0,2,0,-,-,League Division Two,1962,1962,8,30,0,2
713,01 Sep 1962,Sunderland v Swansea City,Sunderland,Swansea City,Sunderland,L,3-1,3,1,-,-,League Division Two,1962,1962,9,1,1,3
714,04 Sep 1962,Swansea City v Cardiff City,Swansea City,Cardiff City,Cardiff City,W,2-1,2,1,-,-,League Division Two,1962,1962,9,4,2,1
715,08 Sep 1962,Swansea City v Leeds United,Swansea City,Leeds United,Leeds United,L,0-2,0,2,-,-,League Division Two,1962,1962,9,8,0,2
716,11 Sep 1962,Scunthorpe United v Swansea City,Scunthorpe United,Swansea City,Scunthorpe United,L,1-0,1,0,-,-,League Division Two,1962,1962,9,11,0,1
717,15 Sep 1962,Cardiff City v Swansea City,Cardiff City,Swansea City,Cardiff City,L,5-2,5,2,-,-,League Division Two,1962,1962,9,15,2,5
718,18 Sep 1962,Swansea City v Scunthorpe United,Swansea City,Scunthorpe United,Scunthorpe United,W,1-0,1,0,-,-,League Division Two,1962,1962,9,18,1,0
719,22 Sep 1962,Chelsea v Swansea City,Chelsea,Swansea City,Chelsea,D,2-2,2,2,-,-,League Division Two,1962,1962,9,22,2,2
720,26 Sep 1962,Coventry City v Swansea City,Coventry City,Swansea City,Coventry City,L,3-2,3,2,-,-,League Cup,1962,1962,9,26,2,3
721,29 Sep 1962,Swansea City v Luton Town,Swansea City,Luton Town,Luton Town,W,1-0,1,0,-,-,League Division Two,1962,1962,9,29,1,0
722,06 Oct 1962,Swansea City v Huddersfield Town,Swansea City,Huddersfield Town,Huddersfield Town,L,1-2,1,2,-,-,League Division Two,1962,1962,10,6,1,2
723,13 Oct 1962,Middlesbrough v Swansea City,Middlesbrough,Swansea City,Middlesbrough,D,2-2,2,2,-,-,League Division Two,1962,1962,10,13,2,2
724,19 Oct 1962,Swansea City v Derby County,Swansea City,Derby County,Derby County,W,2-0,2,0,-,-,League Division Two,1962,1962,10,19,2,0
725,27 Oct 1962,Newcastle United v Swansea City,Newcastle United,Swansea City,Newcastle United,L,6-0,6,0,-,-,League Division Two,1962,1962,10,27,0,6
726,03 Nov 1962,Swansea City v Walsall,Swansea City,Walsall,Walsall,W,3-0,3,0,-,-,League Division Two,1962,1962,11,3,3,0
727,10 Nov 1962,Norwich City v Swansea City,Norwich City,Swansea City,Norwich City,L,5-0,5,0,-,-,League Division Two,1962,1962,11,10,0,5
728,17 Nov 1962,Swansea City v Grimsby Town,Swansea City,Grimsby Town,Grimsby Town,W,1-0,1,0,-,-,League Division Two,1962,1962,11,17,1,0
729,24 Nov 1962,Plymouth Argyle v Swansea City,Plymouth Argyle,Swansea City,Plymouth Argyle,L,1-0,1,0,-,-,League Division Two,1962,1962,11,24,0,1
730,01 Dec 1962,Swansea City v Preston North End,Swansea City,Preston North End,Preston North End,D,1-1,1,1,-,-,League Division Two,1962,1962,12,1,1,1
731,08 Dec 1962,Portsmouth v Swansea City,Portsmouth,Swansea City,Portsmouth,D,0-0,0,0,-,-,League Division Two,1962,1962,12,8,0,0
732,15 Dec 1962,Swansea City v Charlton Athletic,Swansea City,Charlton Athletic,Charlton Athletic,W,2-1,2,1,-,-,League Division Two,1962,1962,12,15,2,1
733,26 Dec 1962,Swansea City v Southampton,Swansea City,Southampton,Southampton,D,1-1,1,1,-,-,League Division Two,1962,1962,12,26,1,1
734,26 Jan 1963,Swansea City v Queens Park Rangers,Swansea City,Queens Park Rangers,Queens Park Rangers,W,2-0,2,0,-,-,FA Cup,1962,1963,1,26,2,0
735,09 Feb 1963,Swansea City v Chelsea,Swansea City,Chelsea,Chelsea,W,2-0,2,0,-,-,League Division Two,1962,1963,2,9,2,0
736,02 Mar 1963,Swansea City v Middlesbrough,Swansea City,Middlesbrough,Middlesbrough,D,1-1,1,1,-,-,League Division Two,1962,1963,3,2,1,1
737,04 Mar 1963,West Ham United v Swansea City,West Ham United,Swansea City,West Ham United,L,1-0,1,0,-,-,FA Cup,1962,1963,3,4,0,1
738,09 Mar 1963,Derby County v Swansea City,Derby County,Swansea City,Derby County,W,0-2,0,2,-,-,League Division Two,1962,1963,3,9,2,0
739,16 Mar 1963,Swansea City v Newcastle United,Swansea City,Newcastle United,Newcastle United,W,1-0,1,0,-,-,League Division Two,1962,1963,3,16,1,0
740,23 Mar 1963,Walsall v Swansea City,Walsall,Swansea City,Walsall,W,0-1,0,1,-,-,League Division Two,1962,1963,3,23,1,0
741,27 Mar 1963,Stoke City v Swansea City,Stoke City,Swansea City,Stoke City,L,2-0,2,0,-,-,League Division Two,1962,1963,3,27,0,2
742,06 Apr 1963,Grimsby Town v Swansea City,Grimsby Town,Swansea City,Grimsby Town,L,1-0,1,0,-,-,League Division Two,1962,1963,4,6,0,1
743,09 Apr 1963,Swansea City v Norwich City,Swansea City,Norwich City,Norwich City,W,2-0,2,0,-,-,League Division Two,1962,1963,4,9,2,0
744,13 Apr 1963,Swansea City v Plymouth Argyle,Swansea City,Plymouth Argyle,Plymouth Argyle,W,2-1,2,1,-,-,League Division Two,1962,1963,4,13,2,1
745,15 Apr 1963,Rotherham United v Swansea City,Rotherham United,Swansea City,Rotherham United,L,2-1,2,1,-,-,League Division Two,1962,1963,4,15,1,2
746,16 Apr 1963,Swansea City v Rotherham United,Swansea City,Rotherham United,Rotherham United,D,2-2,2,2,-,-,League Division Two,1962,1963,4,16,2,2
747,20 Apr 1963,Preston North End v Swansea City,Preston North End,Swansea City,Preston North End,L,6-3,6,3,-,-,League Division Two,1962,1963,4,20,3,6
748,22 Apr 1963,Southampton v Swansea City,Southampton,Swansea City,Southampton,L,3-0,3,0,-,-,League Division Two,1962,1963,4,22,0,3
749,27 Apr 1963,Swansea City v Portsmouth,Swansea City,Portsmouth,Portsmouth,D,0-0,0,0,-,-,League Division Two,1962,1963,4,27,0,0
750,01 May 1963,Luton Town v Swansea City,Luton Town,Swansea City,Luton Town,L,3-1,3,1,-,-,League Division Two,1962,1963,5,1,1,3
751,06 May 1963,Huddersfield Town v Swansea City,Huddersfield Town,Swansea City,Huddersfield Town,L,4-1,4,1,-,-,League Division Two,1962,1963,5,6,1,4
752,11 May 1963,Swansea City v Sunderland,Swansea City,Sunderland,Sunderland,L,3-4,3,4,-,-,League Division Two,1962,1963,5,11,3,4
753,18 May 1963,Leeds United v Swansea City,Leeds United,Swansea City,Leeds United,L,5-0,5,0,-,-,League Division Two,1962,1963,5,18,0,5
